NWD858148 SRR8010063
NWD151636 SRR8004361
NWD153022 SRR8004374
NWD151171 SRR8004359
NWD235995 SRR8005041
NWD234418 SRR8005031
NWD236496 SRR8005046
NWD235985 SRR8005040
NWD236417 SRR8005045
NWD243710 SRR8005110
NWD246556 SRR8005136
NWD237653 SRR8005055
NWD243006 SRR8005106
NWD252119 SRR8005172
NWD247708 SRR8005148
NWD251642 SRR8005170
NWD252471 SRR8005175
NWD254173 SRR8005183
NWD254673 SRR8005188
NWD262337 SRR8005250
NWD263671 SRR8005261
NWD256934 SRR8005211
NWD255962 SRR8005200
NWD268443 SRR8005294
NWD271942 SRR8005321
NWD257525 SRR8005215
NWD257009 SRR8005212
NWD264123 SRR8005264
NWD264684 SRR8005268
NWD273655 SRR8005335
NWD271705 SRR8005319
NWD275289 SRR8005353
NWD296204 SRR8005508
NWD294928 SRR8005498
NWD294215 SRR8005491
NWD292923 SRR8005484
NWD280051 SRR8005385
NWD286383 SRR8005433
NWD287616 SRR8005446
NWD275747 SRR8005359
NWD278071 SRR8005372
NWD288008 SRR8005452
NWD291933 SRR8005475
NWD286923 SRR8005440
NWD289234 SRR8005455
NWD303004 SRR8005568
NWD289395 SRR8005456
NWD246760 SRR8005138
NWD247522 SRR8005145
NWD106320 SRR8004000
NWD100956 SRR8003948
NWD471164 SRR8006895
NWD478061 SRR8006949
NWD491204 SRR8007071
NWD521420 SRR8007289
NWD524708 SRR8007326
NWD564989 SRR8007633
NWD558192 SRR8007577
NWD579589 SRR8007762
NWD708330 SRR8008823
NWD701091 SRR8008760
NWD731985 SRR8009022
NWD732508 SRR8009026
NWD751929 SRR8009184
NWD738281 SRR8009069
NWD136066 SRR8004240
NWD139844 SRR8004265
NWD129180 SRR8004191
NWD134054 SRR8004226
NWD145427 SRR8004307
NWD149413 SRR8004339
NWD149198 SRR8004337
NWD134558 SRR8004232
NWD150606 SRR8004354
NWD157290 SRR8004410
NWD156631 SRR8004403
NWD151716 SRR8004364
NWD156020 SRR8004398
NWD163157 SRR8004455
NWD159871 SRR8004429
NWD161402 SRR8004442
NWD165781 SRR8004476
NWD167660 SRR8004491
NWD156913 SRR8004407
NWD172805 SRR8004539
NWD172870 SRR8004540
NWD170557 SRR8004523
NWD176242 SRR8004568
NWD185489 SRR8004638
NWD174132 SRR8004550
NWD179874 SRR8004596
NWD188993 SRR8004664
